Código;Emissor;Setor;Indexador;Vencimento;Taxa Indicativa;Duration;PU;Negócios;Volume
PETR101;Petrobras;Infraestrutura;Pré;17/09/2032;12.4239;6.39;1107.008148;32;46473523.58
PETR102;Petrobras;Telecom;% DI;11/09/2029;112.3278;3.37;950.953228;10;29920376.34
PETR103;Petrobras;Energia;IPCA+;12/03/2031;6.2921;4.87;1091.967325;14;16063451.42
VALE101;Vale;Consumo;DI+;17/10/2031;2.6337;5.47;874.882643;0;17454540.79
VALE102;Vale;Telecom;% DI;06/05/2031;108.3705;5.02;879.471925;15;32469809.37
VALE103;Vale;Financeiro;IPCA+;12/07/2027;7.0609;1.2;857.435002;2;10643495.15
VALE104;Vale;Saneamento;IPCA+;20/04/2035;6.9971;8.98;1080.510422;15;19941373.99
ITUB101;Itaú Unibanco;Saneamento;DI+;15/11/2029;2.8286;3.55;1043.982124;14;7589728.99
ITUB102;Itaú Unibanco;Infraestrutura;% DI;18/06/2035;98.8757;9.14;826.979177;41;24203736.12
ITUB103;Itaú Unibanco;Telecom;% DI;30/11/2031;112.1593;5.59;985.278401;43;47595700.06
ITUB104;Itaú Unibanco;Consumo;DI+;24/01/2032;1.8065;5.74;1077.623459;27;48975953.79
BBAS101;Banco do Brasil;Energia;DI+;14/07/2028;1.237;2.21;1189.636801;34;40155837.76
BBAS102;Banco do Brasil;Infraestrutura;DI+;06/07/2035;3.2455;9.19;1181.977187;7;44807696.75
BBAS103;Banco do Brasil;Infraestrutura;Pré;24/03/2027;14.9954;0.9;1168.60082;3;16172155.56
ABEV101;Ambev;Infraestrutura;Pré;23/08/2029;15.368;3.32;837.66974;42;25193926.26
ABEV102;Ambev;Energia;DI+;16/10/2033;1.1832;7.47;942.255358;35;31902842.14
ABEV103;Ambev;Saneamento;DI+;12/03/2029;3.1961;2.87;1140.884681;25;38006398.98
SUZB101;Suzano;Financeiro;DI+;29/12/2030;3.4756;4.67;835.374826;24;36396378.46
SUZB102;Suzano;Infraestrutura;Pré;28/02/2033;14.1308;6.84;980.437172;38;34430071.5
SUZB103;Suzano;Telecom;% DI;04/03/2033;108.6222;6.85;1026.817103;22;40914078.05
SUZB104;Suzano;Consumo;% DI;18/04/2028;102.152;1.97;968.379117;42;42859577.63
RAIL101;Rumo;Telecom;% DI;19/01/2034;113.0508;7.73;1147.177953;7;31320638.18
ELET101;Eletrobras;Financeiro;% DI;23/10/2034;97.382;8.49;1027.826733;6;42559210.04
ELET102;Eletrobras;Infraestrutura;Pré;07/05/2027;10.9952;1.02;980.260236;0;30540806.58
CPFE101;CPFL Energia;Consumo;% DI;09/07/2034;99.2119;8.2;910.417927;19;12714363.69
CPFE102;CPFL Energia;Telecom;DI+;04/02/2032;1.7577;5.77;1106.633187;12;31847449.53
CPFE103;CPFL Energia;Telecom;Pré;31/10/2035;14.9226;9.51;1083.654922;19;1690099.39
CPFE104;CPFL Energia;Saneamento;% DI;24/07/2035;113.0767;9.24;991.072658;41;11406570.81
ENEV101;Eneva;Telecom;DI+;15/11/2029;3.2762;3.55;935.899187;37;23976518.45
ENEV102;Eneva;Saneamento;DI+;04/11/2028;3.0816;2.52;1138.734245;41;27139994.37
ENEV103;Eneva;Financeiro;IPCA+;27/11/2026;4.5556;0.58;1028.655712;20;13778380.73
CSAN101;Cosan;Consumo;IPCA+;07/07/2029;6.7119;3.19;968.865136;15;44719504.51
CSAN102;Cosan;Infraestrutura;% DI;19/06/2028;101.7919;2.14;980.305994;42;18956886.76
CSAN103;Cosan;Consumo;DI+;19/01/2034;1.0834;7.73;1061.133864;31;3196453.35
RDOR101;Rede D'Or;Saneamento;IPCA+;20/01/2029;7.3785;2.73;1055.371675;28;14768916.91
RDOR102;Rede D'Or;Saneamento;% DI;30/11/2029;103.8518;3.59;989.692861;49;9029468.31
RDOR103;Rede D'Or;Energia;Pré;10/06/2032;13.6338;6.12;1026.830219;14;14373803.15
RDOR104;Rede D'Or;Energia;DI+;14/12/2031;2.5155;5.63;1055.257454;6;37199282.69
HAPV101;Hapvida;Energia;IPCA+;19/03/2028;8.1122;1.89;1131.433252;39;15867188.77
HAPV102;Hapvida;Infraestrutura;Pré;14/09/2029;13.6811;3.38;1056.021211;24;12812817.96
LWSA101;Locaweb;Telecom;% DI;12/11/2030;98.9264;4.54;1090.871848;11;18617038.18
